CID,start,end
5000078,2018-06-01,2018-12-31
6000427,2016-01-01,2018-12-31
13000065,2006-01-01,2006-12-31
15000045,2007-01-01,2011-12-31
21000072,2010-01-01,2011-12-31
45000059,2015-01-01,2016-12-29
47000060,2014-02-01,2025-12-01
47000061,2014-02-01,2025-12-01
55000051,2007-01-01,2015-01-01
57000057,2008-01-01,2017-01-01
64000033,2006-01-01,2012-12-31
26000170,2006-01-01,2006-12-31
26000170,2008-01-01,2008-12-31
26000170,2011-01-01,2014-12-31 
27000021,2007-01-01,2016-12-31
31000016,2006-01-01,2017-12-31 
31000023,2006-01-01,2016-12-31
32000018,2013-01-01,2017-12-31 
32000020,2013-01-01,2017-12-31
35000006,2018-01-01,2018-12-31
35000010,2017-01-01,2017-12-31
36000015,2006-01-01,2006-05-31
36000015,2010-01-01,2014-12-31 
36000016,2010-01-01,2014-12-31 
37000034,2019-01-01,2019-12-31
41000140,2014-01-01,2017-12-31 
41000141,2014-01-01,2017-12-31
43000246,2017-01-01,2017-12-31
45000041,2007-01-01,2019-12-31
45000042,2014-01-01,2018-12-31
45000059,2015-01-01,2016-12-31
21000526,2017-12-01,2018-12-31
21000529,2011-01-01,2011-12-31
21000647,2018-03-22,2018-12-31
21000648,2008-08-16,2008-10-15
21000648,2009-08-01,2009-09-18
21000790,2011-01-27,2016-12-31
21000800,2015-01-01,2015-12-07
21000861,2017-01-01,2018-12-31
21000873,2016-01-01,2022-12-31
21006206,2014-03-01,2014-08-31
23000002,2015-01-01,2016-12-31
23000173,2017-01-01,2017-12-31
25000018,2017-01-01,2017-09-20
25000642,2014-03-01,2015-03-31
25000716,2014-01-01,2015-12-31
26000103,2015-06-15,2015-08-31
