eps,Min_Samples,Clusters,Noise,Silhouette Score,Davies-Bouldin Index
0.05,2,4,336,0.8294096793279915,0.15783721026050185
0.05,2,4,336,0.8294096793279915,0.15783721026050185
0.06,2,5,334,0.7232558221547628,0.29130305059410805
0.06,2,5,334,0.7232558221547628,0.29130305059410805
0.07,2,5,334,0.7232558221547628,0.29130305059410805
0.07,2,6,332,0.7309236085761268,0.2779124532276936
0.08,2,8,328,0.6261274979570616,0.38178672875946706
0.08,2,8,328,0.6261274979570616,0.38178672875946706
0.09,2,8,325,0.5688162628364726,0.4299227197438775
0.09,2,9,321,0.5558928577443208,0.45828752584055465
0.1,2,8,320,0.6567070309530663,0.32249060744221614
0.1,2,8,320,0.6567070309530663,0.32249060744221614
0.11,2,8,319,0.6448901956051085,0.3586094005349243
0.11,2,10,315,0.6809059226201194,0.3025162849274677
0.12,2,10,311,0.6325920687412524,0.307656043482052
0.12,2,10,311,0.6325920687412524,0.307656043482052
0.13,2,10,310,0.6098475697917451,0.3173442632467532
0.13,2,13,301,0.5471162654145064,0.41616459959811775
0.14,2,14,298,0.5196124039617712,0.45900402413484587
0.14,2,13,295,0.5268833692442789,0.46563073298167496
0.15,2,12,293,0.4232352834890986,0.4633289131866403
0.15,2,12,293,0.4232352834890986,0.4633289131866403
0.16,2,12,291,0.4652555666308898,0.4600037531754422
0.16,2,12,291,0.4652555666308898,0.4600037531754422
0.16,2,12,291,0.4652555666308898,0.4600037531754422
0.17,2,12,291,0.4652555666308898,0.4600037531754422
0.17,2,12,289,0.4542577100932665,0.486480445088485
0.18,2,13,283,0.4479519364491048,0.5489548786196147
0.18,2,15,277,0.44183009852762795,0.5472195525810887
0.19,2,15,277,0.44183009852762795,0.5472195525810887
0.19,2,15,275,0.4064550409801277,0.47292040051949724
0.2,2,14,275,0.38426782642857943,0.48338582147135867
0.2,2,13,274,0.45671376637666905,0.48096321632555017
0.21,2,13,273,0.4502605600169519,0.4820105546536339
0.21,2,13,273,0.4502605600169519,0.4820105546536339
0.22,2,13,273,0.4502605600169519,0.4820105546536339
0.22,2,14,268,0.465598175101922,0.46332257397683213
0.23,2,14,265,0.44468699327842776,0.463371065410409
0.23,2,14,262,0.4786729695236602,0.42866362106819966
0.24,2,15,259,0.4648599740925143,0.47638232830002375
0.24,2,14,258,0.5077021609887913,0.41399877971269505
0.25,2,14,256,0.5116036048090373,0.43069739024276416
0.25,2,12,256,0.4671337287968664,0.40379166678986417
0.26,2,13,252,0.2357689386959494,0.5080984502830712
0.26,2,12,251,0.24212951227476948,0.5069572599775066
0.26,2,13,247,0.2287214952786004,0.535647394991603
0.27,2,13,247,0.2287214952786004,0.535647394991603
0.27,2,12,245,0.44567761498142033,0.4542336044942579
0.28,2,12,245,0.44567761498142033,0.4542336044942579
0.28,2,13,242,0.44162008412863263,0.43565875510115737
0.29,2,13,242,0.44162008412863263,0.43565875510115737
0.29,2,14,240,0.44321257181482293,0.4381337755087961
0.3,2,14,240,0.44321257181482293,0.4381337755087961
0.3,2,14,238,0.44741874637905527,0.4392464554206004
0.31,2,13,236,0.3338546271164294,0.39853567726858713
0.31,2,13,236,0.3338546271164294,0.39853567726858713
0.32,2,14,233,0.3310007472612478,0.42161745382548194
0.32,2,15,231,0.33015789409807916,0.4386376034792733
0.33,2,15,230,0.3279244511968231,0.4389036559965613
0.33,2,16,228,0.3371510632574233,0.41624452146543417
0.34,2,16,228,0.3371510632574233,0.41624452146543417
0.34,2,18,223,0.34488090793870213,0.42404757852236163
0.35,2,19,220,0.34586478117616415,0.4330168410899985
0.35,2,19,220,0.34586478117616415,0.4330168410899985
0.36,2,19,218,0.3946990749389353,0.4157777407310176
0.36,2,19,217,0.3916123116428534,0.4231240697204763
0.37,2,18,216,0.4058439697754578,0.40513036023939725
0.37,2,18,216,0.4058439697754578,0.40513036023939725
0.37,2,18,213,0.35242512045779517,0.4029025346983982
0.38,2,18,213,0.35242512045779517,0.4029025346983982
0.38,2,18,212,0.348120315460788,0.4041672508594924
0.39,2,17,212,0.3456995978386848,0.3922324743249295
0.39,2,17,211,0.34329331214621966,0.40088058740974475
0.4,2,17,210,0.34206211807076853,0.4056608130383628
0.4,2,17,209,0.33316544760123745,0.40749615121670213
0.41,2,17,209,0.33316544760123745,0.40749615121670213
0.41,2,17,209,0.33316544760123745,0.40749615121670213
0.42,2,18,206,0.3365773499279424,0.4191102053327969
0.42,2,18,206,0.3365773499279424,0.4191102053327969
0.43,2,19,204,0.33895406198807354,0.42388919831916705
0.43,2,21,199,0.32948929757465156,0.4936671020237291
0.44,2,21,198,0.32554360315702435,0.5017068562131911
0.44,2,21,197,0.3234089200992731,0.523918091333319
0.45,2,23,193,0.307578708884486,0.5468693592973417
0.45,2,24,191,0.31120944376245496,0.5436482176936313
0.46,2,25,188,0.3151857371923749,0.5364120120521281
0.46,2,24,186,0.3095252822465505,0.5756081638556
0.47,2,25,183,0.3057698851793584,0.5707900987827101
0.47,2,24,183,0.3128846882063403,0.5343392199841913
0.47,2,23,183,0.31817973292099516,0.5423548416791136
0.48,2,24,178,0.33589419046002517,0.5073759995985426
0.48,2,25,174,0.3337886908104351,0.5189514181332029
0.49,2,25,173,0.33369972013038846,0.521120440465875
0.49,2,25,171,0.39431078408517445,0.5144632044536662
0.5,2,24,169,0.3288146272840689,0.5243900859546872
0.5,2,25,166,0.3301032841122063,0.5307459448301654
0.51,2,25,165,0.330677371761974,0.5383881297592145
0.51,2,25,164,0.33260608713104145,0.5391995501507131
0.52,2,25,162,0.3305214071642424,0.5481906576344557
0.52,2,25,161,0.3277784391300444,0.5606152266780885
0.53,2,25,159,0.33293842741311047,0.5482056052044976
0.53,2,25,158,0.328274217350399,0.5488129704797631
0.54,2,25,156,0.2338261476960025,0.5644873741259724
0.54,2,24,156,0.22151671155257344,0.5880076278006933
0.55,2,24,156,0.22151671155257344,0.5880076278006933
0.55,2,24,156,0.22151671155257344,0.5880076278006933
0.56,2,23,156,0.22607441687556992,0.5775856487460103
0.56,2,23,155,0.22693426719260335,0.5813571204372867
0.57,2,24,152,0.2275629359588067,0.5791504242704494
0.57,2,24,152,0.2275629359588067,0.5791504242704494
0.58,2,24,151,0.21832917783489497,0.5812637555636342
0.58,2,25,148,0.21775618197661065,0.5808768255516732
0.58,2,25,146,0.20961758449575704,0.5818215840274461
0.59,2,24,145,0.15580939998512774,0.5739168110241408
0.59,2,25,143,0.15948484567386537,0.5704957337276478
0.6,2,26,138,0.1542984011061586,0.6003861102838806
0.6,2,26,133,0.1496341917742677,0.6182197088223425
0.61,2,26,132,0.14555742190237264,0.6195906936722643
0.61,2,26,132,0.14555742190237264,0.6195906936722643
0.62,2,27,130,0.15039665076894998,0.6077922570192487
0.62,2,27,130,0.15039665076894998,0.6077922570192487
0.63,2,26,128,0.24051228767057173,0.5423212005312501
0.63,2,25,127,0.2690069273555574,0.5504107299954201
0.64,2,25,126,0.26232936813721836,0.5513951261540689
0.64,2,25,126,0.26232936813721836,0.5513951261540689
0.65,2,25,126,0.26232936813721836,0.5513951261540689
0.65,2,25,125,0.2601068821840516,0.5614819229702942
0.66,2,26,121,0.2637176047196878,0.5766297781246851
0.66,2,26,120,0.2597386158926334,0.5769171088183138
0.67,2,26,117,0.2663479036719884,0.5553628205937288
0.67,2,26,117,0.2663479036719884,0.5553628205937288
0.68,2,25,115,0.25779707830639786,0.5682259907566357
0.68,2,25,114,0.25659329117065954,0.5823089882690986
0.68,2,24,113,0.19867863530328797,0.5598448250982032
0.69,2,24,111,0.2317986380264369,0.5445902169337564
0.69,2,23,110,0.19858273188262157,0.5386110922772323
0.7,2,23,110,0.19858273188262157,0.5386110922772323
0.7,2,24,108,0.19781414682386128,0.5518032014755362
0.71,2,25,106,0.20280681752684543,0.5385592607226645
0.71,2,25,104,0.1979949400035411,0.5416180661452941
0.72,2,25,103,0.1981596895423669,0.5415807911571734
0.72,2,24,103,0.19373530793967558,0.5611001649898223
0.73,2,25,101,0.18955090008134037,0.5693162859768822
0.73,2,23,101,0.18122598206291085,0.5753075497690342
0.74,2,22,101,0.181527568027348,0.5815947375207352
0.74,2,21,99,0.23583589416357922,0.5656684530195567
0.75,2,22,97,0.23404848266152253,0.5949202057366332
0.75,2,22,97,0.23404848266152253,0.5949202057366332
0.76,2,22,97,0.23404848266152253,0.5949202057366332
0.76,2,20,97,0.2282482077285202,0.6198369956144842
0.77,2,20,97,0.2282482077285202,0.6198369956144842
0.77,2,20,97,0.2282482077285202,0.6198369956144842
0.78,2,20,96,0.2297790462448181,0.6296317760079244
0.78,2,20,96,0.2297790462448181,0.6296317760079244
0.79,2,20,95,0.22876946944807572,0.6404518870836023
0.79,2,20,95,0.22876946944807572,0.6404518870836023
0.79,2,21,93,0.22704094000345745,0.6614707826264712
0.8,2,21,93,0.22704094000345745,0.6614707826264712
0.8,2,21,93,0.22704094000345745,0.6614707826264712
0.81,2,21,92,0.22838168821486574,0.6743294040355626
0.81,2,21,92,0.22838168821486574,0.6743294040355626
0.82,2,20,91,0.2360804369712781,0.6637168173782093
0.82,2,20,90,0.23550397413152568,0.6668573392177212
0.83,2,21,87,0.23731329553974098,0.6614962202516997
0.83,2,21,85,0.23563211719839042,0.6652988101958852
0.84,2,20,85,0.22610582997631215,0.7071251644903003
0.84,2,21,83,0.22921174945610606,0.6929307032536528
0.85,2,21,82,0.22756122472439097,0.7012559986948814
0.85,2,21,82,0.22756122472439097,0.7012559986948814
0.86,2,21,82,0.22756122472439097,0.7012559986948814
0.86,2,21,82,0.22756122472439097,0.7012559986948814
0.87,2,20,82,0.3217347155660482,0.6841976079968984
0.87,2,20,82,0.3217347155660482,0.6841976079968984
0.88,2,20,80,0.31869178763961314,0.6960468551104593
0.88,2,19,79,0.3300806417253649,0.7189661032495698
0.89,2,20,74,0.3226438314644257,0.7637616627526679
0.89,2,19,74,0.3153758417229657,0.7774374755476382
0.89,2,19,73,0.31606803811841694,0.7830104203558623
0.9,2,18,72,0.32634173506775255,0.761750416353165
0.9,2,17,72,0.3322129044680109,0.7412297152238146
0.91,2,17,72,0.3322129044680109,0.7412297152238146
0.91,2,17,70,0.31773623215959634,0.7655158297181515
0.92,2,17,70,0.31773623215959634,0.7655158297181515
0.92,2,16,70,0.31590453024492915,0.7665258121593332
0.93,2,15,70,0.3177462768707428,0.7376676426615277
0.93,2,15,70,0.3177462768707428,0.7376676426615277
0.94,2,15,70,0.3177462768707428,0.7376676426615277
0.94,2,13,70,0.06372728632704253,0.7636374688906924
0.95,2,13,70,0.06372728632704253,0.7636374688906924
0.95,2,11,69,-0.027492763970777462,0.7563129693176218
0.96,2,11,69,-0.027492763970777462,0.7563129693176218
0.96,2,11,68,-0.029356806320881463,0.7810441131213577
0.97,2,12,66,-0.026219928960973325,0.7611093682558842
0.97,2,12,63,-0.03352065774164557,0.7755756355241482
0.98,2,12,62,-0.03309831078533852,0.7809460284110005
0.98,2,12,62,-0.03309831078533852,0.7809460284110005
0.99,2,11,62,-0.1162598650092922,0.7506427996648438
0.99,2,12,60,-0.11029359394787519,0.7221508142032699
