obsstednr,Cluster,eps_used,min_samples
10000009,-1,0.05,2
11000011,-1,0.05,2
11000016,-1,0.05,2
13000011,-1,0.05,2
13000019,0,0.05,2
13000065,-1,0.05,2
14000016,-1,0.05,2
14000020,-1,0.05,2
14000022,-1,0.05,2
15000002,1,0.05,2
15000032,2,0.05,2
15000043,1,0.05,2
15000073,3,0.05,2
15000109,4,0.05,2
16000023,-1,0.05,2
16000024,-1,0.05,2
16000030,-1,0.05,2
16000070,-1,0.05,2
17000004,-1,0.05,2
17000007,4,0.05,2
18000077,5,0.05,2
18000078,6,0.05,2
19000012,3,0.05,2
19000015,6,0.05,2
20000024,7,0.05,2
20000026,7,0.05,2
20000034,-1,0.05,2
2000005,8,0.05,2
20000790,9,0.05,2
21000030,10,0.05,2
21000040,-1,0.05,2
21000062,-1,0.05,2
21000065,-1,0.05,2
21000072,-1,0.05,2
21000084,-1,0.05,2
21000085,-1,0.05,2
21000089,-1,0.05,2
21000090,-1,0.05,2
21000110,6,0.05,2
21000413,-1,0.05,2
21000461,11,0.05,2
21000467,11,0.05,2
21000487,-1,0.05,2
21000526,-1,0.05,2
21000528,12,0.05,2
21000529,12,0.05,2
21000535,-1,0.05,2
21000548,13,0.05,2
21000557,14,0.05,2
21000563,-1,0.05,2
21000569,15,0.05,2
21000572,16,0.05,2
21000577,-1,0.05,2
21000647,-1,0.05,2
21000648,-1,0.05,2
21000665,-1,0.05,2
21000666,10,0.05,2
21000712,-1,0.05,2
21000745,17,0.05,2
21000752,-1,0.05,2
21000759,16,0.05,2
21000786,-1,0.05,2
21000790,-1,0.05,2
21000794,-1,0.05,2
21000803,-1,0.05,2
21000861,-1,0.05,2
21000872,-1,0.05,2
21000873,6,0.05,2
21001663,-1,0.05,2
21006035,12,0.05,2
21006036,12,0.05,2
21006037,-1,0.05,2
21006038,-1,0.05,2
22000043,-1,0.05,2
22000048,9,0.05,2
22000050,-1,0.05,2
22000053,-1,0.05,2
22000062,18,0.05,2
22000225,-1,0.05,2
22000234,0,0.05,2
22000336,-1,0.05,2
23000083,-1,0.05,2
23000173,-1,0.05,2
24000061,-1,0.05,2
25000018,-1,0.05,2
25000020,-1,0.05,2
25000021,-1,0.05,2
25000075,-1,0.05,2
25000078,-1,0.05,2
25000082,19,0.05,2
25000085,-1,0.05,2
25000086,20,0.05,2
25000097,19,0.05,2
25000733,-1,0.05,2
25003189,-1,0.05,2
26000037,-1,0.05,2
26000080,21,0.05,2
26000082,-1,0.05,2
26000096,-1,0.05,2
27000003,21,0.05,2
27000004,-1,0.05,2
27000045,-1,0.05,2
28000001,-1,0.05,2
29000009,-1,0.05,2
3000002,21,0.05,2
3000003,13,0.05,2
30000052,-1,0.05,2
31000017,-1,0.05,2
31000021,-1,0.05,2
31000027,-1,0.05,2
31000031,-1,0.05,2
31000032,-1,0.05,2
32000001,-1,0.05,2
32000004,-1,0.05,2
32000013,-1,0.05,2
32000022,-1,0.05,2
32000030,-1,0.05,2
33000004,-1,0.05,2
34000002,-1,0.05,2
34000003,-1,0.05,2
34000019,-1,0.05,2
34000023,-1,0.05,2
35000006,22,0.05,2
35000010,-1,0.05,2
35000013,-1,0.05,2
35000018,22,0.05,2
36000008,-1,0.05,2
36000009,-1,0.05,2
36000012,-1,0.05,2
36000015,-1,0.05,2
36000016,-1,0.05,2
36000018,-1,0.05,2
37000011,-1,0.05,2
37000034,18,0.05,2
37000038,-1,0.05,2
37000039,-1,0.05,2
37000255,-1,0.05,2
37000259,-1,0.05,2
38000023,-1,0.05,2
38000024,-1,0.05,2
38000047,-1,0.05,2
38000107,-1,0.05,2
39000001,-1,0.05,2
39000002,-1,0.05,2
40000001,23,0.05,2
4000002,2,0.05,2
4000005,2,0.05,2
41000012,-1,0.05,2
41000014,-1,0.05,2
41000016,24,0.05,2
41000020,14,0.05,2
41000024,-1,0.05,2
41000140,-1,0.05,2
41000141,-1,0.05,2
42000012,-1,0.05,2
42000014,25,0.05,2
42000019,-1,0.05,2
42000020,25,0.05,2
42000021,23,0.05,2
42000022,-1,0.05,2
42000074,-1,0.05,2
42000125,26,0.05,2
43000001,27,0.05,2
44000021,-1,0.05,2
44000106,-1,0.05,2
44000188,-1,0.05,2
45000002,-1,0.05,2
45000003,27,0.05,2
45000004,27,0.05,2
45000005,-1,0.05,2
45000034,-1,0.05,2
45000035,-1,0.05,2
45000043,-1,0.05,2
45000045,-1,0.05,2
45000058,-1,0.05,2
45000059,24,0.05,2
45000369,-1,0.05,2
46000001,27,0.05,2
46000017,-1,0.05,2
46000018,-1,0.05,2
46000019,-1,0.05,2
46000030,-1,0.05,2
46000174,24,0.05,2
47000001,-1,0.05,2
47000036,-1,0.05,2
47000037,-1,0.05,2
48000004,-1,0.05,2
48000006,28,0.05,2
48000007,26,0.05,2
48000010,-1,0.05,2
48000011,29,0.05,2
49000054,-1,0.05,2
49000057,17,0.05,2
49000061,17,0.05,2
49000066,-1,0.05,2
49000092,5,0.05,2
49000094,17,0.05,2
49000227,29,0.05,2
5000003,-1,0.05,2
50000045,26,0.05,2
50000046,30,0.05,2
50000048,-1,0.05,2
50000051,17,0.05,2
50000055,26,0.05,2
50000056,28,0.05,2
50000057,31,0.05,2
50000058,30,0.05,2
51000024,32,0.05,2
51000026,31,0.05,2
52000020,26,0.05,2
52000025,17,0.05,2
52000029,26,0.05,2
52000033,24,0.05,2
52000039,26,0.05,2
52000063,26,0.05,2
52000064,17,0.05,2
52000068,26,0.05,2
52000198,26,0.05,2
52000199,24,0.05,2
52000870,26,0.05,2
53000010,17,0.05,2
53000011,-1,0.05,2
53000028,-1,0.05,2
53000029,-1,0.05,2
53000235,-1,0.05,2
54000002,26,0.05,2
55000015,-1,0.05,2
55000017,32,0.05,2
55000018,-1,0.05,2
55000051,30,0.05,2
56000001,-1,0.05,2
56000002,32,0.05,2
56000003,15,0.05,2
56000005,-1,0.05,2
56000006,26,0.05,2
56000007,26,0.05,2
57000044,-1,0.05,2
57000049,28,0.05,2
57000050,32,0.05,2
57000052,-1,0.05,2
57000055,-1,0.05,2
57000058,15,0.05,2
57000063,-1,0.05,2
58000019,24,0.05,2
58000047,-1,0.05,2
59000006,-1,0.05,2
6000001,8,0.05,2
60000027,-1,0.05,2
60000031,-1,0.05,2
60000035,-1,0.05,2
60000036,-1,0.05,2
61000012,-1,0.05,2
61000013,-1,0.05,2
62000012,26,0.05,2
62000014,24,0.05,2
62000015,-1,0.05,2
62000017,26,0.05,2
62000022,26,0.05,2
64000025,-1,0.05,2
66000014,-1,0.05,2
67000017,-1,0.05,2
67000018,-1,0.05,2
67000019,-1,0.05,2
7000003,-1,0.05,2
8000001,-1,0.05,2
9000001,-1,0.05,2
9000015,20,0.05,2
25000592,-1,0.05,2
