eps,Min_Samples,Clusters,Noise,Silhouette Score,Davies-Bouldin Index
0.05,2,6,251,0.9885511270451938,0.013470915761180785
0.05,2,6,251,0.9885511270451938,0.013470915761180785
0.06,2,6,251,0.9885511270451938,0.013470915761180785
0.06,2,6,251,0.9885511270451938,0.013470915761180785
0.07,2,7,249,0.9887488819828965,0.012737382737442014
0.07,2,7,249,0.9887488819828965,0.012737382737442014
0.08,2,7,249,0.9887488819828965,0.012737382737442014
0.08,2,7,249,0.9887488819828965,0.012737382737442014
0.09,2,7,249,0.9887488819828965,0.012737382737442014
0.09,2,7,249,0.9887488819828965,0.012737382737442014
0.1,2,7,249,0.9887488819828965,0.012737382737442014
0.1,2,7,249,0.9887488819828965,0.012737382737442014
0.11,2,7,249,0.9887488819828965,0.012737382737442014
0.11,2,7,249,0.9887488819828965,0.012737382737442014
0.12,2,7,249,0.9887488819828965,0.012737382737442014
0.12,2,7,249,0.9887488819828965,0.012737382737442014
0.13,2,7,249,0.9887488819828965,0.012737382737442014
0.13,2,8,247,0.9842600547097193,0.019084942150984878
0.14,2,8,247,0.9842600547097193,0.019084942150984878
0.14,2,8,247,0.9842600547097193,0.019084942150984878
0.15,2,9,245,0.9838082222357668,0.01904401207350521
0.15,2,9,245,0.9838082222357668,0.01904401207350521
0.16,2,10,243,0.9673725956388447,0.035214575467943765
0.16,2,10,243,0.9673725956388447,0.035214575467943765
0.16,2,10,243,0.9673725956388447,0.035214575467943765
0.17,2,10,243,0.9673725956388447,0.035214575467943765
0.17,2,10,243,0.9673725956388447,0.035214575467943765
0.18,2,10,243,0.9673725956388447,0.035214575467943765
0.18,2,10,243,0.9673725956388447,0.035214575467943765
0.19,2,10,243,0.9673725956388447,0.035214575467943765
0.19,2,10,243,0.9673725956388447,0.035214575467943765
0.2,2,10,243,0.9673725956388447,0.035214575467943765
0.2,2,10,243,0.9673725956388447,0.035214575467943765
0.21,2,11,241,0.9650304003993551,0.03660170397248988
0.21,2,11,241,0.9650304003993551,0.03660170397248988
0.22,2,11,241,0.9650304003993551,0.03660170397248988
0.22,2,11,241,0.9650304003993551,0.03660170397248988
0.23,2,12,239,0.9360409745533845,0.0661190399466041
0.23,2,12,238,0.9269476916051742,0.07128410362521634
0.24,2,12,238,0.9269476916051742,0.07128410362521634
0.24,2,12,238,0.9269476916051742,0.07128410362521634
0.25,2,12,238,0.9269476916051742,0.07128410362521634
0.25,2,12,238,0.9269476916051742,0.07128410362521634
0.26,2,12,238,0.9269476916051742,0.07128410362521634
0.26,2,13,236,0.9251506521104201,0.07601085316666625
0.26,2,13,236,0.9251506521104201,0.07601085316666625
0.27,2,14,234,0.896216951432194,0.1053345124300989
