eps,Min_Samples,Clusters,Noise,Silhouette Score,Davies-Bouldin Index
0.05,2,6,256,0.9881304134061789,0.013500810213222143
0.05,2,6,256,0.9881304134061789,0.013500810213222143
0.06,2,6,256,0.9881304134061789,0.013500810213222143
0.06,2,6,256,0.9881304134061789,0.013500810213222143
0.07,2,6,256,0.9881304134061789,0.013500810213222143
0.07,2,6,256,0.9881304134061789,0.013500810213222143
0.08,2,6,256,0.9881304134061789,0.013500810213222143
0.08,2,6,256,0.9881304134061789,0.013500810213222143
0.09,2,6,256,0.9881304134061789,0.013500810213222143
0.09,2,8,252,0.9826812193218106,0.018966245157609963
0.1,2,8,252,0.9826812193218106,0.018966245157609963
0.1,2,8,252,0.9826812193218106,0.018966245157609963
0.11,2,9,250,0.9615728933244971,0.03990133316785726
0.11,2,9,250,0.9615728933244971,0.03990133316785726
0.12,2,9,250,0.9615728933244971,0.03990133316785726
0.12,2,10,248,0.9539258022746127,0.04745070034511467
0.13,2,11,246,0.9545680806630259,0.04561610474048706
0.13,2,11,246,0.9545680806630259,0.04561610474048706
0.14,2,11,246,0.9545680806630259,0.04561610474048706
0.14,2,11,246,0.9545680806630259,0.04561610474048706
0.15,2,11,246,0.9545680806630259,0.04561610474048706
0.15,2,12,244,0.9451776452319202,0.04968016595350736
0.16,2,12,244,0.9451776452319202,0.04968016595350736
0.16,2,12,244,0.9451776452319202,0.04968016595350736
0.16,2,12,244,0.9451776452319202,0.04968016595350736
0.17,2,12,244,0.9451776452319202,0.04968016595350736
0.17,2,12,244,0.9451776452319202,0.04968016595350736
0.18,2,12,244,0.9451776452319202,0.04968016595350736
0.18,2,12,244,0.9451776452319202,0.04968016595350736
0.19,2,12,243,0.9370741359946929,0.05511694991621618
0.19,2,12,243,0.9370741359946929,0.05511694991621618
0.2,2,12,243,0.9370741359946929,0.05511694991621618
0.2,2,12,243,0.9370741359946929,0.05511694991621618
0.21,2,12,243,0.9370741359946929,0.05511694991621618
0.21,2,13,241,0.9302795692055108,0.06422618601465038
0.22,2,13,241,0.9302795692055108,0.06422618601465038
0.22,2,13,241,0.9302795692055108,0.06422618601465038
0.23,2,14,239,0.9107093222250058,0.09141663770779239
0.23,2,14,239,0.9107093222250058,0.09141663770779239
0.24,2,14,239,0.9107093222250058,0.09141663770779239
0.24,2,14,238,0.8809180368863577,0.11619907544484066
0.25,2,14,238,0.8809180368863577,0.11619907544484066
0.25,2,15,236,0.8557769240902704,0.14602318306004128
0.26,2,15,236,0.8557769240902704,0.14602318306004128
0.26,2,15,236,0.8557769240902704,0.14602318306004128
0.26,2,15,236,0.8557769240902704,0.14602318306004128
0.27,2,15,236,0.8557769240902704,0.14602318306004128
0.27,2,15,236,0.8557769240902704,0.14602318306004128
0.28,2,15,236,0.8557769240902704,0.14602318306004128
0.28,2,15,236,0.8557769240902704,0.14602318306004128
0.29,2,16,234,0.8500621130217831,0.15008528428167353
0.29,2,17,232,0.8463785263423301,0.15388876438307844
0.3,2,18,230,0.8264185499191835,0.17102177233213064
0.3,2,18,229,0.8101331599153099,0.195965631938367
0.31,2,18,229,0.8101331599153099,0.195965631938367
0.31,2,18,229,0.8101331599153099,0.195965631938367
0.32,2,18,229,0.8101331599153099,0.195965631938367
0.32,2,19,227,0.8012446751982598,0.20319926923435333
0.33,2,20,225,0.7973495115920074,0.20883726811168724
0.33,2,20,225,0.7973495115920074,0.20883726811168724
0.34,2,20,224,0.7876712591950775,0.22027759137176622
0.34,2,20,224,0.7876712591950775,0.22027759137176622
0.35,2,20,224,0.7876712591950775,0.22027759137176622
0.35,2,20,223,0.7736067467258406,0.23155328604337125
0.36,2,20,222,0.7747927855539558,0.2327197303295942
0.36,2,20,222,0.7747927855539558,0.2327197303295942
0.37,2,20,221,0.7560914025166061,0.2521878904417843
0.37,2,20,221,0.7560914025166061,0.2521878904417843
0.37,2,20,221,0.7560914025166061,0.2521878904417843
0.38,2,20,220,0.7497526953422086,0.25755653469162726
0.38,2,20,218,0.71916704013217,0.28381298267320676
0.39,2,20,218,0.71916704013217,0.28381298267320676
0.39,2,20,218,0.71916704013217,0.28381298267320676
0.4,2,21,216,0.7158489840414859,0.28827779465776165
0.4,2,21,216,0.7158489840414859,0.28827779465776165
0.41,2,22,214,0.7132061189433438,0.29212797716155753
0.41,2,21,214,0.7239444699217061,0.26755829421396127
0.42,2,21,213,0.7240488808818284,0.26870014717114626
0.42,2,21,212,0.7139233589007444,0.27510608151967453
0.43,2,21,211,0.6908983828687834,0.308608769370811
0.43,2,22,207,0.6505936311021335,0.3539348053506728
0.44,2,22,205,0.662062641601541,0.3381431121581078
0.44,2,22,202,0.6562376015733191,0.35513432048594173
0.45,2,23,199,0.641556732492059,0.37698650025190866
0.45,2,24,197,0.6365621412155945,0.3842277524723934
0.46,2,24,197,0.6365621412155945,0.3842277524723934
0.46,2,24,196,0.6280906048300264,0.39804355747507353
0.47,2,24,196,0.6280906048300264,0.39804355747507353
0.47,2,24,196,0.6280906048300264,0.39804355747507353
0.47,2,24,196,0.6280906048300264,0.39804355747507353
0.48,2,25,194,0.6223376313446227,0.40404133121352614
0.48,2,28,187,0.5729785056026412,0.4623211663933464
0.49,2,29,185,0.5741615793257879,0.4584460093252939
0.49,2,30,180,0.5193875086881122,0.5062706323689137
0.5,2,30,179,0.5094950733122774,0.513246528207876
0.5,2,29,178,0.4872297786165928,0.5287699778377086
0.51,2,30,174,0.4952346300410638,0.5190774289377855
0.51,2,30,169,0.45886251463092825,0.5709922868653771
0.52,2,31,165,0.5058930307542155,0.5233459233222514
0.52,2,31,164,0.5055662187039306,0.5226589580319041
0.53,2,31,164,0.5055662187039306,0.5226589580319041
0.53,2,32,161,0.5049691292880106,0.5201184909199912
0.54,2,32,161,0.5049691292880106,0.5201184909199912
0.54,2,33,156,0.49267154953775527,0.5417731450827297
0.55,2,34,151,0.4742258647761706,0.5776090994219966
0.55,2,34,151,0.4742258647761706,0.5776090994219966
0.56,2,33,149,0.46357653460310055,0.5900277797957167
0.56,2,32,149,0.4534867967974479,0.6019293655401738
0.57,2,31,148,0.4248513796926784,0.5760608732145112
0.57,2,32,146,0.43326873511270053,0.5606915494088798
0.58,2,33,144,0.4267983269194487,0.5738585028859929
0.58,2,33,144,0.4267983269194487,0.5738585028859929
0.58,2,33,139,0.4207118752159537,0.6114686741349242
0.59,2,33,137,0.41041532439101275,0.6248130228885033
0.59,2,32,137,0.41773779123967975,0.6088422755083942
0.6,2,30,137,0.414973870643465,0.6256339699138812
0.6,2,30,137,0.414973870643465,0.6256339699138812
0.61,2,30,136,0.4079847070180193,0.6267488721232348
0.61,2,28,135,0.4124881577354069,0.6255251626799854
0.62,2,29,133,0.4176811379113948,0.6113402766840369
0.62,2,28,129,0.3773514245237178,0.5607878666520533
0.63,2,27,128,0.3802506131875194,0.5439369925268464
0.63,2,27,126,0.38345717335822993,0.5552432871925996
0.64,2,25,126,0.346306227464623,0.5633026620823345
0.64,2,25,126,0.346306227464623,0.5633026620823345
0.65,2,25,123,0.2755517770162691,0.5982777224501958
0.65,2,25,122,0.2779237428472071,0.5987831919584555
0.66,2,25,122,0.2779237428472071,0.5987831919584555
0.66,2,24,122,0.243035884441788,0.6215191726805889
0.67,2,24,122,0.243035884441788,0.6215191726805889
0.67,2,26,117,0.22021496767384013,0.6171257912429855
0.68,2,26,115,0.21804624818924162,0.6333948235901258
0.68,2,26,114,0.21613230762703983,0.6335418853597343
0.68,2,26,114,0.21613230762703983,0.6335418853597343
0.69,2,27,111,0.2146282853320719,0.648319512615718
0.69,2,26,110,0.24410746257390284,0.6270917220224478
0.7,2,26,110,0.24410746257390284,0.6270917220224478
0.7,2,26,110,0.24410746257390284,0.6270917220224478
0.71,2,26,109,0.24379303724096826,0.6320826642439508
0.71,2,24,109,0.13784387183963565,0.6303857073476012
0.72,2,24,109,0.13784387183963565,0.6303857073476012
0.72,2,25,106,0.13381321861414122,0.6574576139847553
0.73,2,26,104,0.14163527033904336,0.6413595655526171
0.73,2,27,102,0.14225172762372587,0.6367096983071485
0.74,2,27,100,0.1411335751185922,0.6455772224081423
0.74,2,27,100,0.1411335751185922,0.6455772224081423
0.75,2,27,100,0.1411335751185922,0.6455772224081423
0.75,2,26,100,0.1400218120444045,0.6496402591138609
0.76,2,26,99,0.1379643706363063,0.6629253640412236
0.76,2,26,98,0.13558280003883236,0.6619548418161443
0.77,2,25,96,0.1372929269452809,0.6599131659641477
0.77,2,24,96,0.1281855890962528,0.6571195923899054
0.78,2,24,96,0.1281855890962528,0.6571195923899054
0.78,2,23,96,0.1376423903685887,0.6016717276127552
0.79,2,23,95,0.1360769538365777,0.6080210028942643
0.79,2,22,95,0.12047982279919661,0.5998583620005715
0.79,2,22,95,0.12047982279919661,0.5998583620005715
0.8,2,23,91,0.11330260831507172,0.5977286831101062
0.8,2,23,91,0.11330260831507172,0.5977286831101062
0.81,2,22,91,0.09237979233012672,0.6182152137359811
0.81,2,22,91,0.09237979233012672,0.6182152137359811
0.82,2,22,91,0.09237979233012672,0.6182152137359811
0.82,2,22,91,0.09237979233012672,0.6182152137359811
0.83,2,22,91,0.09237979233012672,0.6182152137359811
0.83,2,22,91,0.09237979233012672,0.6182152137359811
0.84,2,21,91,0.04838892548325173,0.6374223349503306
0.84,2,21,90,0.04595415524785799,0.6390576310166867
0.85,2,20,89,0.06227300030710248,0.6056623146454969
0.85,2,20,89,0.06227300030710248,0.6056623146454969
0.86,2,20,88,0.06279122556263904,0.6096386523925286
0.86,2,19,86,0.04218372536879119,0.5954995617658722
0.87,2,19,86,0.04218372536879119,0.5954995617658722
0.87,2,20,83,0.05123116471058606,0.5996729716094861
0.88,2,21,81,0.05287255660683292,0.6075238779317251
