eps,Min_Samples,Clusters,Noise,Silhouette Score,Davies-Bouldin Index
0.05,2,5,284,0.9987502691543761,0.0013369411467751367
0.05,2,7,280,0.9947995137945667,0.006028853594448511
0.06,2,8,278,0.9933377050128269,0.008387484167363905
0.06,2,8,278,0.9933377050128269,0.008387484167363905
0.07,2,8,278,0.9933377050128269,0.008387484167363905
0.07,2,8,278,0.9933377050128269,0.008387484167363905
0.08,2,9,276,0.9878558854867533,0.014870978930672327
0.08,2,9,276,0.9878558854867533,0.014870978930672327
0.09,2,9,276,0.9878558854867533,0.014870978930672327
0.09,2,9,276,0.9878558854867533,0.014870978930672327
0.1,2,9,276,0.9878558854867533,0.014870978930672327
0.1,2,9,276,0.9878558854867533,0.014870978930672327
0.11,2,9,276,0.9878558854867533,0.014870978930672327
0.11,2,9,276,0.9878558854867533,0.014870978930672327
0.12,2,10,274,0.9422493016786229,0.06325335184364576
0.12,2,10,274,0.9422493016786229,0.06325335184364576
0.13,2,10,274,0.9422493016786229,0.06325335184364576
0.13,2,10,274,0.9422493016786229,0.06325335184364576
0.14,2,10,273,0.9111699001222184,0.08692290551021939
0.14,2,10,273,0.9111699001222184,0.08692290551021939
0.15,2,10,272,0.8814418538257925,0.11243940388314214
0.15,2,10,272,0.8814418538257925,0.11243940388314214
0.16,2,10,272,0.8814418538257925,0.11243940388314214
0.16,2,10,272,0.8814418538257925,0.11243940388314214
0.16,2,11,270,0.8500627309050426,0.14561808190225892
0.17,2,11,270,0.8500627309050426,0.14561808190225892
0.17,2,11,270,0.8500627309050426,0.14561808190225892
0.18,2,12,268,0.8443807737140059,0.15130405503587965
0.18,2,12,268,0.8443807737140059,0.15130405503587965
0.19,2,12,267,0.821335236077998,0.15861707295357327
0.19,2,12,267,0.821335236077998,0.15861707295357327
0.2,2,12,267,0.821335236077998,0.15861707295357327
0.2,2,13,265,0.7742546940883974,0.2239134707121746
0.21,2,13,264,0.7483560588487598,0.2553596459024664
0.21,2,13,263,0.7383525176777749,0.2557914675785748
0.22,2,12,263,0.7242171696934723,0.22861670367812348
0.22,2,12,263,0.7242171696934723,0.22861670367812348
0.23,2,11,262,0.7342337367443349,0.1791065441160036
0.23,2,11,261,0.7274789818413404,0.17679942473727553
