eps,Min_Samples,Clusters,Noise,Silhouette Score,Davies-Bouldin Index
0.05,2,12,239,0.8725532962466266,0.15347154272925048
0.05,2,13,236,0.841977850423658,0.17877886049232436
0.06,2,14,234,0.8321140704087311,0.18830522024804958
0.06,2,15,232,0.83461697838264,0.1859698548998311
0.07,2,18,223,0.7711346519257238,0.25314088289827263
0.07,2,19,218,0.7062668063670359,0.31291142188147314
0.08,2,20,212,0.6699455823396688,0.35006303207007716
0.08,2,21,204,0.6144422041084594,0.4188594466709337
0.09,2,23,195,0.5913403851295878,0.4445194694484648
0.09,2,25,186,0.5314474719424351,0.5015330859133781
0.1,2,26,175,0.469264524000752,0.5128847414134383
0.1,2,27,169,0.4767439592325298,0.5402689516071905
0.11,2,27,165,0.43965218826103536,0.5954707701058896
0.11,2,29,153,0.4117804145938413,0.6389189510686847
0.12,2,29,145,0.37456281709115086,0.6773016770032786
0.12,2,27,138,0.3216259579759073,0.7158919493511389
0.13,2,27,133,0.3279749142967998,0.6955365514217274
0.13,2,27,123,0.1968845613713399,0.7104213733745222
0.14,2,25,114,0.14294243673590462,0.7284413460941167
0.14,2,23,112,-0.05504771487980963,0.7679709514727311
0.15,2,25,99,-0.04291455282092089,0.783067752554503
0.15,2,25,97,-0.046951259145974804,0.7871457890031602
0.16,2,25,92,-0.04712844189622079,0.7977035390043986
0.16,2,24,89,-0.04761772076058388,0.7330434697525616
0.16,2,26,84,-0.04152028476852983,0.7342764270235326
0.17,2,25,81,-0.04974420500054832,0.7950133297501972
0.17,2,22,76,-0.0803214807425126,0.7675444825438503
0.18,2,17,75,-0.08974218947390025,0.7462298108683442
0.18,2,16,70,-0.20849778599861432,0.8081444513967676
0.19,2,16,66,-0.2342699373003895,0.777503852400389
0.19,2,15,62,-0.21274672348146795,0.7934217211884682
0.2,2,14,57,-0.16247804926205206,0.7670477535378807
0.2,2,16,51,-0.10842128625853649,0.743395849579639
0.21,2,16,50,-0.11160024244564364,0.7462328347172746
0.21,2,17,45,-0.11208958618608332,0.7448857578493
0.22,2,14,40,-0.07904336938532784,0.7372299100830675
0.22,2,15,37,-0.1035899101985263,0.7771274227223817
0.23,2,14,35,-0.0942187874580876,0.7797907556026188
0.23,2,13,34,-0.1020107213789707,0.7966447312488453
0.24,2,11,34,-0.11790647630985149,0.8182504806477816
0.24,2,11,33,-0.12232862489897217,0.8234957014745269
0.25,2,10,33,-0.08855372532231674,0.7727011448197436
0.25,2,10,33,-0.08855372532231674,0.7727011448197436
0.26,2,10,32,-0.09088619154833932,0.7747863076795218
0.26,2,10,31,-0.09596596102363619,0.7812944954804764
0.26,2,10,31,-0.09596596102363619,0.7812944954804764
0.27,2,8,29,-0.10632287032603707,0.760940075344996
0.27,2,6,28,-0.12337155868830085,0.8396315849929669
0.28,2,3,28,-0.1034370987108826,1.2057943906131767
0.28,2,2,28,0.23574827306183557,0.6876672219611606
0.29,2,3,26,-0.006650997905153235,1.0879308074057734
0.29,2,2,25,0.2307179276373602,0.6948328213842591
0.3,2,3,22,0.20287492091138334,0.6772741918649507
0.3,2,3,22,0.20287492091138334,0.6772741918649507
0.31,2,2,22,0.33337225316330177,0.6380906377717225
0.31,2,2,21,0.33002331686131586,0.6406003314263908
0.32,2,2,21,0.33002331686131586,0.6406003314263908
0.32,2,2,21,0.33002331686131586,0.6406003314263908
0.33,2,2,20,0.32738687424344737,0.6437714191052542
0.33,2,2,19,0.3251251965945184,0.6454531318716911
0.34,2,2,18,0.3197039741843771,0.6514642913213436
0.34,2,3,16,0.2801446233679552,0.658664762553599
0.35,2,3,16,0.2801446233679552,0.658664762553599
0.35,2,2,14,0.3059101817094555,0.6688385922517605
0.36,2,2,14,0.3059101817094555,0.6688385922517605
0.36,2,2,14,0.3059101817094555,0.6688385922517605
0.37,2,2,14,0.3059101817094555,0.6688385922517605
0.37,2,1,14,,
0.37,2,1,14,,
0.38,2,1,14,,
0.38,2,1,14,,
0.39,2,1,14,,
0.39,2,1,14,,
0.4,2,1,14,,
0.4,2,1,14,,
0.41,2,1,13,,
0.41,2,1,12,,
0.42,2,1,12,,
0.42,2,1,12,,
0.43,2,1,12,,
0.43,2,1,11,,
0.44,2,1,10,,
0.44,2,1,10,,
0.45,2,1,10,,
0.45,2,1,10,,
0.46,2,1,10,,
0.46,2,1,10,,
0.47,2,1,10,,
0.47,2,1,10,,
0.47,2,1,10,,
0.48,2,1,10,,
0.48,2,1,10,,
0.49,2,1,10,,
0.49,2,1,10,,
0.5,2,1,10,,
0.5,2,1,9,,
0.51,2,1,9,,
0.51,2,1,9,,
0.52,2,2,7,0.7365568705404886,0.2707566200969393
0.52,2,2,7,0.7365568705404886,0.2707566200969393
0.53,2,2,7,0.7365568705404886,0.2707566200969393
0.53,2,2,7,0.7365568705404886,0.2707566200969393
0.54,2,2,7,0.7365568705404886,0.2707566200969393
0.54,2,2,7,0.7365568705404886,0.2707566200969393
0.55,2,2,6,0.7345287430629033,0.27227196056991865
0.55,2,2,6,0.7345287430629033,0.27227196056991865
0.56,2,2,6,0.7345287430629033,0.27227196056991865
0.56,2,2,6,0.7345287430629033,0.27227196056991865
0.57,2,2,6,0.7345287430629033,0.27227196056991865
0.57,2,2,6,0.7345287430629033,0.27227196056991865
0.58,2,2,6,0.7345287430629033,0.27227196056991865
0.58,2,2,6,0.7345287430629033,0.27227196056991865
0.58,2,2,6,0.7345287430629033,0.27227196056991865
0.59,2,2,6,0.7345287430629033,0.27227196056991865
0.59,2,2,6,0.7345287430629033,0.27227196056991865
0.6,2,2,6,0.7345287430629033,0.27227196056991865
0.6,2,2,6,0.7345287430629033,0.27227196056991865
0.61,2,2,6,0.7345287430629033,0.27227196056991865
0.61,2,2,6,0.7345287430629033,0.27227196056991865
0.62,2,2,6,0.7345287430629033,0.27227196056991865
0.62,2,2,6,0.7345287430629033,0.27227196056991865
0.63,2,2,6,0.7345287430629033,0.27227196056991865
0.63,2,2,6,0.7345287430629033,0.27227196056991865
0.64,2,2,6,0.7345287430629033,0.27227196056991865
0.64,2,2,6,0.7345287430629033,0.27227196056991865
0.65,2,2,6,0.7345287430629033,0.27227196056991865
0.65,2,2,6,0.7345287430629033,0.27227196056991865
0.66,2,2,6,0.7345287430629033,0.27227196056991865
0.66,2,2,6,0.7345287430629033,0.27227196056991865
0.67,2,2,6,0.7345287430629033,0.27227196056991865
0.67,2,2,6,0.7345287430629033,0.27227196056991865
0.68,2,2,5,0.741268672953198,0.3082875410275272
0.68,2,2,5,0.741268672953198,0.3082875410275272
0.68,2,2,5,0.741268672953198,0.3082875410275272
0.69,2,2,5,0.741268672953198,0.3082875410275272
0.69,2,2,5,0.741268672953198,0.3082875410275272
0.7,2,2,5,0.741268672953198,0.3082875410275272
0.7,2,2,5,0.741268672953198,0.3082875410275272
0.71,2,2,5,0.741268672953198,0.3082875410275272
0.71,2,2,5,0.741268672953198,0.3082875410275272
0.72,2,2,4,0.7391065919299481,0.3097789273043881
0.72,2,2,4,0.7391065919299481,0.3097789273043881
0.73,2,2,4,0.7391065919299481,0.3097789273043881
0.73,2,2,4,0.7391065919299481,0.3097789273043881
0.74,2,2,4,0.7391065919299481,0.3097789273043881
0.74,2,2,4,0.7391065919299481,0.3097789273043881
0.75,2,2,4,0.7391065919299481,0.3097789273043881
0.75,2,2,4,0.7391065919299481,0.3097789273043881
0.76,2,2,4,0.7391065919299481,0.3097789273043881
0.76,2,2,4,0.7391065919299481,0.3097789273043881
0.77,2,2,4,0.7391065919299481,0.3097789273043881
0.77,2,2,4,0.7391065919299481,0.3097789273043881
0.78,2,2,4,0.7391065919299481,0.3097789273043881
0.78,2,2,4,0.7391065919299481,0.3097789273043881
0.79,2,2,4,0.7391065919299481,0.3097789273043881
0.79,2,2,4,0.7391065919299481,0.3097789273043881
0.79,2,2,4,0.7391065919299481,0.3097789273043881
0.8,2,2,4,0.7391065919299481,0.3097789273043881
0.8,2,2,4,0.7391065919299481,0.3097789273043881
0.81,2,2,4,0.7391065919299481,0.3097789273043881
0.81,2,2,4,0.7391065919299481,0.3097789273043881
0.82,2,2,4,0.7391065919299481,0.3097789273043881
0.82,2,2,4,0.7391065919299481,0.3097789273043881
0.83,2,2,4,0.7391065919299481,0.3097789273043881
0.83,2,2,3,0.7346253568991153,0.3124407004783213
0.84,2,2,3,0.7346253568991153,0.3124407004783213
0.84,2,2,3,0.7346253568991153,0.3124407004783213
0.85,2,2,3,0.7346253568991153,0.3124407004783213
0.85,2,2,3,0.7346253568991153,0.3124407004783213
0.86,2,2,3,0.7346253568991153,0.3124407004783213
0.86,2,2,3,0.7346253568991153,0.3124407004783213
0.87,2,2,3,0.7346253568991153,0.3124407004783213
0.87,2,2,3,0.7346253568991153,0.3124407004783213
0.88,2,2,3,0.7346253568991153,0.3124407004783213
0.88,2,2,3,0.7346253568991153,0.3124407004783213
0.89,2,2,3,0.7346253568991153,0.3124407004783213
0.89,2,2,3,0.7346253568991153,0.3124407004783213
0.89,2,2,3,0.7346253568991153,0.3124407004783213
0.9,2,2,3,0.7346253568991153,0.3124407004783213
0.9,2,2,3,0.7346253568991153,0.3124407004783213
0.91,2,2,3,0.7346253568991153,0.3124407004783213
0.91,2,2,3,0.7346253568991153,0.3124407004783213
0.92,2,2,3,0.7346253568991153,0.3124407004783213
0.92,2,2,3,0.7346253568991153,0.3124407004783213
0.93,2,2,3,0.7346253568991153,0.3124407004783213
0.93,2,2,3,0.7346253568991153,0.3124407004783213
0.94,2,2,3,0.7346253568991153,0.3124407004783213
0.94,2,2,3,0.7346253568991153,0.3124407004783213
0.95,2,2,3,0.7346253568991153,0.3124407004783213
0.95,2,2,3,0.7346253568991153,0.3124407004783213
0.96,2,2,3,0.7346253568991153,0.3124407004783213
0.96,2,2,3,0.7346253568991153,0.3124407004783213
0.97,2,2,3,0.7346253568991153,0.3124407004783213
0.97,2,2,2,0.7291429756254654,0.31520470583543303
0.98,2,2,2,0.7291429756254654,0.31520470583543303
0.98,2,2,2,0.7291429756254654,0.31520470583543303
0.99,2,2,2,0.7291429756254654,0.31520470583543303
0.99,2,2,2,0.7291429756254654,0.31520470583543303
1.0,2,2,2,0.7291429756254654,0.31520470583543303
1.0,2,2,2,0.7291429756254654,0.31520470583543303
