,Cluster
10000009,0
10000010,0
10000011,0
10000014,0
10000016,0
10000017,0
1000102,2
1000315,2
11000011,0
11000016,0
11000204,0
11000272,0
12000001,0
12000519,0
13000011,0
13000019,0
13000055,0
13000065,0
13000430,0
14000016,0
14000020,0
14000022,0
14000219,2
15000002,0
15000032,2
15000034,0
15000042,0
15000043,0
15000044,0
15000046,0
15000048,0
15000069,0
15000073,0
15000280,0
15001056,0
16000023,0
16000024,2
16000030,0
16000053,2
16000070,0
16000215,0
16001095,2
16001309,0
17000004,0
17000007,0
17002092,0
18000005,0
18000041,0
18000077,0
18000887,0
19000012,0
19000015,0
19000016,0
19000075,0
19000214,0
20000021,2
20000024,0
20000025,0
20000026,0
2000005,2
2000006,2
2000014,2
20000308,2
21000020,0
21000030,0
21000040,0
21000061,2
21000062,2
21000072,0
21000084,2
21000085,2
21000087,2
21000089,2
21000090,2
21000110,0
21000413,0
21000446,0
21000461,2
21000467,2
21000487,2
21000528,2
21000548,0
21000572,0
21000591,2
21000643,2
21000648,0
21000665,0
21000666,0
21000712,2
21000745,0
21000752,0
21000759,0
21000786,2
21000794,2
21000800,2
21000803,0
21000806,0
21000872,2
21000923,0
21001449,2
21001659,0
21002451,0
21002628,0
21006036,2
21006467,2
21006549,0
22000043,0
22000046,2
22000048,0
22000050,2
22000053,0
22000054,0
22000057,2
22000062,2
22000158,2
22000194,2
22000225,2
22000234,2
22000640,0
22001540,0
22001541,2
22001542,2
23000002,0
23000083,0
23000087,0
23000994,0
24000050,0
24000061,2
25000019,0
25000020,0
25000021,0
25000075,2
25000078,2
25000082,2
25000085,1
25000086,2
25000087,2
25000091,2
25000097,2
25000275,0
25000362,0
25000483,2
25000629,2
25000639,2
25000642,1
25000707,0
25000716,2
25000733,0
25001614,2
25003595,2
25003597,2
25003599,2
26000080,0
26000082,0
26000096,0
27000002,2
27000003,2
27000004,0
27000021,0
27000035,2
27000045,0
27000055,0
27000615,0
27000638,2
27000671,2
27000975,2
28000001,0
29000009,0
29000232,0
29000535,0
3000002,2
3000003,2
30000052,2
30000215,2
31000016,2
31000017,2
31000021,2
31000023,2
31000027,2
31000032,2
31001108,2
32000001,2
32000002,2
32000004,2
32000013,1
32000022,2
33000003,0
33000004,0
33000318,0
34000002,2
34000003,2
34000019,2
34000023,2
34000024,0
35000008,2
35000013,2
35000018,2
36000008,2
36000009,2
36000012,2
36000018,0
36000061,2
36000192,2
37000011,0
37000034,2
37000038,2
37000039,0
37000261,2
38000023,2
38000024,2
38000047,2
38000052,2
38000107,2
39000001,2
39000002,2
40000001,2
4000002,2
4000005,2
40000165,2
41000012,0
41000014,2
41000016,0
41000020,0
41000024,0
41000140,2
41000141,1
41000391,2
42000012,2
42000014,0
42000017,0
42000019,0
42000020,0
42000021,2
42000022,0
42000074,2
42000125,0
42000366,2
42000379,2
42000478,2
42001011,2
43000001,0
43000003,0
43000007,0
43000408,0
43000432,0
44000020,0
44000021,0
44000191,0
45000002,0
45000003,0
45000004,0
45000005,0
45000034,0
45000035,0
45000043,0
45000044,0
45000045,0
45000047,0
45000058,0
45000059,0
45000090,0
45000117,0
45000804,0
45001337,0
45001404,0
45001412,0
46000001,0
46000017,0
46000018,0
46000019,0
46000020,0
46000030,0
46000608,0
46000641,0
46000642,0
47000001,0
47000036,0
47000037,0
47000092,0
47000659,0
47001065,0
48000004,0
48000006,0
48000007,0
48000010,0
48000011,0
49000054,0
49000057,0
49000061,0
49000066,0
49000094,0
49000146,0
5000003,2
50000045,0
50000046,0
50000048,0
50000051,0
50000056,0
50000057,0
50000058,0
5000078,0
51000002,0
51000024,0
51000026,0
51000245,0
52000020,0
52000025,0
52000029,0
52000033,0
52000039,0
52000040,0
52000063,0
52000064,0
52000068,0
52000198,0
52000199,0
52000425,0
52001041,0
53000010,0
53000028,0
53000029,0
53000618,0
54000002,0
54000009,0
54000184,0
55000015,0
55000017,0
55000018,0
56000001,0
56000002,0
56000003,0
56000005,0
56000006,0
56000007,0
57000044,0
57000048,0
57000049,0
57000050,0
57000052,0
57000053,0
57000055,0
57000057,0
57000058,0
57000059,2
57000063,0
57000085,0
57000121,0
57000178,0
57001002,0
58000019,0
58000047,0
59000005,0
59000006,0
6000001,2
60000027,0
60000029,0
60000031,0
60000035,0
60000036,0
60000037,0
6000306,2
61000011,0
61000012,0
61000013,0
62000012,0
62000014,0
62000015,0
62000017,0
62000022,0
63000007,0
64000025,0
66000014,0
66000034,0
67000017,0
67000018,2
67000019,2
67000030,0
7000003,2
7000099,0
7000333,2
8000001,2
9000001,2
9000015,2
9000172,0
9000173,0
9000293,2
9000451,0
22000047,0
