,Cluster
10000009,0
10000010,0
10000011,0
10000014,0
10000016,0
10000017,0
1000102,0
1000315,0
11000011,0
11000016,0
11000204,0
12000001,0
12000519,0
13000011,0
13000019,0
13000055,0
13000065,0
13000430,0
14000016,0
14000022,0
14000219,0
15000002,0
15000032,0
15000034,0
15000042,0
15000043,0
15000044,0
15000046,0
15000048,0
15000069,0
15000073,0
15000104,0
15000280,0
15001056,0
16000023,0
16000024,0
16000030,0
16000053,0
16000070,0
16000123,0
16000215,0
16000649,0
16001095,0
16001309,0
16001334,0
17000004,0
17000007,0
17002092,0
18000005,0
18000041,0
18000077,0
18000135,0
19000012,0
19000015,0
19000016,0
19000075,0
19000214,0
20000021,0
20000024,0
20000025,0
20000026,0
2000005,0
2000006,0
2000014,0
20000308,0
20000856,0
21000020,0
21000030,0
21000040,0
21000061,0
21000062,0
21000072,0
21000084,0
21000085,0
21000087,0
21000089,0
21000090,0
21000413,0
21000446,0
21000461,0
21000467,0
21000487,0
21000528,0
21000548,0
21000572,0
21000587,0
21000591,0
21000643,0
21000648,0
21000665,0
21000666,0
21000712,0
21000745,0
21000752,0
21000759,0
21000786,0
21000791,0
21000793,0
21000794,0
21000799,0
21000800,0
21000803,0
21000806,0
21000872,0
21000923,0
21001449,0
21001659,0
21001663,0
21006549,0
22000043,0
22000046,0
22000048,0
22000050,0
22000053,0
22000054,0
22000057,0
22000062,0
22000158,0
22000194,0
22000225,0
22000234,0
22000336,0
22000419,0
22000640,0
22001540,0
22001541,0
22001542,0
23000002,0
23000083,0
23000087,0
23000587,0
23000994,0
24000050,0
24000061,0
25000018,0
25000019,0
25000020,0
25000021,0
25000075,0
25000078,0
25000082,0
25000085,0
25000086,0
25000087,0
25000091,0
25000097,0
25000275,0
25000362,0
25000483,0
25000629,0
25000639,0
25000716,0
25000733,0
25001614,0
25003595,0
25003596,0
25003597,0
25003599,0
26000080,0
26000082,0
26000096,0
27000002,0
27000003,0
27000004,0
27000021,0
27000035,0
27000045,0
27000055,0
27000615,0
27000638,0
27000671,0
27000975,0
28000001,0
28000051,0
29000009,0
29000232,0
29000535,0
3000002,0
3000003,0
30000052,0
30000215,0
31000016,0
31000021,0
31000023,0
31000027,0
31000031,0
31000032,0
31001108,0
32000001,0
32000002,0
32000004,0
32000013,0
32000022,0
33000003,0
33000004,0
33000318,0
34000002,0
34000003,0
34000019,0
34000023,0
34000024,0
35000006,0
35000008,0
35000010,0
35000013,0
35000018,0
36000008,0
36000009,0
36000012,0
36000018,0
36000061,0
36000192,0
37000011,0
37000038,0
37000039,0
37000261,0
38000023,0
38000024,0
38000047,0
38000052,0
38000107,0
39000001,0
39000002,0
40000001,0
4000005,0
40000165,0
41000012,0
41000014,0
41000016,0
41000020,0
41000024,0
41000391,0
42000012,0
42000014,0
42000017,0
42000020,0
42000021,0
42000022,0
42000074,0
42000366,0
42000379,0
42000478,0
42001011,0
43000001,0
43000003,0
43000007,0
43000246,0
43000408,0
43000432,0
44000020,0
44000021,0
44000191,0
44000590,0
45000002,0
45000003,0
45000004,0
45000005,0
45000034,0
45000035,0
45000041,0
45000042,0
45000043,0
45000044,0
45000045,0
45000047,0
45000058,0
45000090,0
45000117,0
45000804,0
45001404,0
45001412,0
46000001,0
46000017,0
46000018,0
46000019,0
46000020,0
46000030,0
46000174,0
46000608,0
46000641,0
46000642,0
47000001,0
47000036,0
47000037,0
47000092,0
47000659,0
47001065,0
47001141,0
48000004,0
48000006,0
48000007,0
48000010,0
48000011,0
49000054,0
49000057,0
49000061,0
49000066,0
49000094,0
5000003,0
50000045,0
50000048,0
50000051,0
50000056,0
50000057,0
50000058,0
51000001,0
51000002,0
51000024,0
51000026,0
51000245,0
51000261,0
52000020,0
52000025,0
52000029,0
52000033,0
52000039,0
52000040,0
52000063,0
52000068,0
52000198,0
52000199,0
52001041,0
53000010,0
53000011,0
53000028,0
53000618,0
54000002,0
54000009,0
54000111,0
54000184,0
55000015,0
55000017,0
55000018,0
55000051,0
56000001,0
56000002,0
56000003,0
56000005,0
56000006,0
56000007,0
57000044,0
57000048,0
57000049,0
57000050,0
57000052,0
57000053,0
57000055,0
57000058,0
57000059,0
57000063,0
57000085,0
57000121,0
57000643,0
58000019,0
58000047,0
59000005,0
59000006,0
6000001,0
60000027,0
60000029,0
60000031,0
60000035,0
60000036,0
60000037,0
60000212,0
60000650,0
6000306,0
6000427,0
6000428,1
61000011,0
61000012,0
61000013,0
61000094,0
62000012,0
62000014,0
62000015,0
62000017,0
62000022,0
63000007,0
64000025,0
66000014,0
66000034,0
67000017,0
67000018,0
67000019,0
7000003,0
7000333,0
8000001,0
9000001,0
9000015,0
9000172,0
9000173,0
9000293,0
9000451,0
