,Cluster
10000009,2
10000010,2
10000011,1
10000014,2
10000016,1
10000017,1
11000011,2
11000016,2
12000001,1
12000195,1
13000011,1
13000019,2
13000065,2
14000016,2
14000022,2
15000002,2
15000032,1
15000043,2
15000046,1
15000069,1
15000073,2
16000023,2
16000024,2
16000030,1
16000070,2
16001299,1
17000004,1
17000007,2
18000075,1
18000077,1
18000078,2
18000132,1
18000135,2
18000454,1
18000471,1
19000012,2
19000015,1
20000024,2
20000026,2
20000034,2
2000005,2
20000306,2
20000790,2
21000030,1
21000040,1
21000062,2
21000065,1
21000072,1
21000084,2
21000085,2
21000089,2
21000090,2
21000413,1
21000461,2
21000467,2
21000487,2
21000526,1
21000528,0
21000548,1
21000557,1
21000563,2
21000569,1
21000572,1
21000577,1
21000647,2
21000648,1
21000665,1
21000666,1
21000712,2
21000745,1
21000752,1
21000759,1
21000786,0
21000794,2
21000803,1
21000861,1
21000872,1
21000873,2
21001663,1
21006035,0
21006036,0
21006037,2
21006038,2
22000043,1
22000048,2
22000050,0
22000053,1
22000062,2
22000225,2
22000336,2
23000083,1
23000173,0
24000050,1
24000061,1
25000020,2
25000021,2
25000075,2
25000078,2
25000082,2
25000085,0
25000086,2
25000097,2
25000733,1
25003189,0
26000037,1
26000080,1
26000082,1
26000096,1
27000002,1
27000003,1
27000004,1
27000035,1
27000045,2
28000001,1
29000009,2
3000002,2
3000003,2
30000052,1
30000215,1
31000017,2
31000027,2
31000031,1
31000032,2
32000001,0
32000004,2
32000013,0
32000018,0
32000020,1
32000022,2
33000003,2
33000004,2
34000002,2
34000003,2
34000019,2
34000023,2
34000024,1
35000006,2
35000010,2
35000013,1
35000018,2
36000008,2
36000009,2
36000012,2
36000018,2
37000011,1
37000034,2
37000038,1
37000255,2
37000259,2
38000023,2
38000024,2
39000001,2
39000002,2
40000001,2
4000002,1
4000005,1
41000012,1
41000014,1
41000016,1
41000020,1
41000140,0
41000141,0
42000012,2
42000014,1
42000019,1
42000020,1
42000021,2
42000022,1
42000074,2
42000125,1
43000001,1
43000003,1
44000021,1
44000106,2
44000188,2
45000002,2
45000003,2
45000004,2
45000005,1
45000034,1
45000035,1
45000043,2
45000045,1
45000058,2
45000090,2
45000369,1
46000001,1
46000017,1
46000018,1
46000019,1
46000030,1
46000174,1
47000001,1
47000036,1
47000037,1
48000004,1
48000006,1
48000007,1
48000010,1
48000011,1
48000115,1
49000054,1
49000057,1
49000061,1
49000066,2
49000094,1
49000227,1
5000003,2
50000045,1
50000046,1
50000048,2
50000051,1
50000055,1
50000056,1
50000057,1
50000058,1
51000002,1
51000024,1
51000026,1
52000020,1
52000025,1
52000029,1
52000033,1
52000039,1
52000063,1
52000068,1
52000198,1
52000199,1
52000870,1
53000010,1
53000011,1
53000028,1
53000235,2
54000002,1
55000015,1
55000017,1
55000018,1
55000051,1
56000001,1
56000002,1
56000003,1
56000005,1
56000006,1
56000007,1
57000044,1
57000049,1
57000050,1
57000052,1
57000055,1
57000057,1
57000058,1
57000063,1
58000019,1
58000047,1
59000006,1
6000001,2
60000027,1
60000029,1
60000031,1
60000036,1
61000012,1
61000013,1
62000014,1
62000015,1
62000022,1
63000007,1
64000025,1
66000014,1
66000034,2
67000017,1
67000018,1
67000019,1
7000003,1
8000001,1
9000001,2
9000015,2
