,Cluster
10000009,0
10000010,0
10000011,0
10000014,0
10000016,0
10000017,0
11000011,2
11000016,2
12000001,0
12000195,2
13000011,0
13000019,0
13000065,2
14000016,0
14000020,0
14000022,0
15000002,0
15000032,2
15000043,0
15000046,0
15000073,0
16000023,2
16000024,2
16000030,2
16000070,2
16001299,0
17000004,0
17000007,0
18000077,0
19000012,0
19000015,0
19000042,0
20000024,0
20000026,0
2000005,2
21000030,0
21000040,0
21000062,2
21000072,0
21000084,2
21000085,2
21000089,2
21000090,2
21000413,0
21000461,2
21000467,2
21000487,2
21000528,2
21000548,0
21000569,0
21000572,0
21000648,0
21000665,0
21000666,0
21000712,2
21000745,0
21000752,0
21000759,0
21000786,1
21000794,2
21000803,0
21000872,2
21000873,0
21001663,0
21006036,2
22000043,0
22000048,0
22000050,2
22000053,0
22000062,2
22000225,2
23000083,0
24000050,0
24000061,2
25000018,2
25000020,0
25000021,0
25000075,2
25000078,2
25000082,2
25000085,1
25000086,2
25000097,2
25000733,0
26000037,2
26000080,0
26000082,2
26000096,0
27000002,2
27000004,2
27000035,2
27000045,2
28000001,2
29000009,2
3000002,2
3000003,2
30000052,2
30000215,2
31000017,2
31000027,2
31000031,0
31000032,2
32000001,2
32000004,2
32000013,1
32000022,2
33000003,2
33000004,2
34000002,2
34000003,2
34000019,2
34000023,2
34000024,0
35000006,2
35000010,2
35000013,2
35000018,2
36000008,2
36000009,2
36000012,2
36000018,2
37000011,2
37000034,2
37000038,2
38000023,2
38000024,2
39000001,2
39000002,2
40000001,2
4000002,2
4000005,2
41000012,2
41000014,2
41000016,2
41000020,2
42000012,2
42000014,2
42000017,2
42000019,0
42000020,2
42000021,2
42000022,2
42000074,2
43000001,2
43000003,0
44000021,2
45000002,2
45000003,2
45000004,2
45000005,0
45000034,0
45000035,2
45000043,0
45000045,0
45000058,0
45000059,0
45000090,0
46000001,2
46000017,2
46000018,0
46000019,2
46000030,2
47000001,2
47000036,2
47000037,2
47000060,2
47000061,0
48000004,0
48000007,0
48000010,0
48000011,0
49000054,0
49000057,0
49000061,0
49000066,0
49000094,0
5000003,2
50000046,0
50000048,0
50000051,0
50000055,0
50000056,0
50000057,0
50000058,0
5000078,0
51000002,0
51000024,2
51000026,0
52000020,0
52000025,0
52000029,0
52000033,0
52000039,0
52000063,0
52000068,0
52000198,0
52000199,0
53000010,0
53000011,0
53000028,0
54000002,0
55000015,0
55000017,2
55000018,2
56000001,0
56000002,0
56000003,2
56000005,2
56000006,0
56000007,0
57000044,2
57000049,2
57000050,2
57000052,2
57000055,2
57000058,2
57000063,2
57001002,0
58000019,0
58000047,0
59000006,0
6000001,2
60000027,2
60000029,0
60000031,0
60000035,2
60000036,0
61000012,0
61000013,0
62000012,0
62000014,2
62000015,0
62000017,0
62000022,0
63000007,0
64000025,0
66000014,0
67000017,2
67000018,2
67000019,2
67000030,2
7000003,2
8000001,2
9000001,1
9000015,1
