,Cluster
19000075,0
19000016,0
16000054,0
21000062,0
21000061,0
20000306,0
20000024,0
20000025,0
20000856,0
20000026,0
22000062,0
25000483,0
25000086,0
25000082,0
25000020,0
25000018,0
25000639,0
25000629,0
22000194,0
22000225,0
22000234,0
22000336,0
22001541,0
22001540,0
25000087,0
25000097,0
25000275,0
22000046,0
22000050,0
22000054,0
22000057,0
21000794,0
22000158,0
9000293,0
31000027,0
25001614,0
25003599,0
25003597,0
25003595,0
11000016,0
9000015,0
25000716,0
57000053,1
57000052,1
57000063,1
57000121,1
57000643,1
57000048,1
53000010,1
55000018,1
56000007,1
56000005,1
55000051,1
56000001,1
57000044,1
58000047,1
57000049,1
57000055,1
60000037,1
59000006,1
51000245,1
51000026,1
52001041,1
52000068,1
55000017,1
52000039,1
56000002,1
51000001,1
44000191,1
47000001,1
47000036,1
52000020,1
52000040,1
51000002,1
51000024,1
51000261,1
9000451,1
44000021,1
45000003,2
46000019,2
42001011,2
42000478,2
45000047,2
45000058,2
42000074,2
42000379,2
45000804,2
40000001,2
45000005,2
43000246,2
43000001,2
43000003,2
42000012,2
45000035,2
46000030,2
46000018,2
38000107,2
38000047,2
32000013,2
31000021,2
36000009,2
36000008,2
38000024,2
46000001,2
44000020,2
45000004,2
42000021,2
42000022,2
21000089,2
25000362,2
21000745,2
21000085,2
45000002,2
17000007,3
15000104,3
17002092,3
17000004,3
15000042,3
10000011,3
15000073,3
15001056,3
15000069,3
15000043,3
15000044,3
23000994,3
10000010,3
15000034,3
14000219,3
10000009,3
14000022,3
10000014,3
13000019,3
13000011,3
9000172,3
10000017,3
10000016,3
14000016,3
39000002,4
34000019,4
33000003,4
33000004,4
35000008,4
25000733,4
36000018,4
28000001,4
32000002,4
32000004,4
31000016,4
31000023,4
31000032,4
31001108,4
29000009,4
32000001,4
34000003,4
28000051,4
21000872,4
21000040,4
25000021,4
25000091,4
25000019,4
27000055,5
27000615,5
27000002,5
27000638,5
27000975,5
21000786,5
21000752,5
21000648,5
21000072,5
21000487,5
21000446,5
27000671,5
27000004,5
27000045,5
27000003,5
21000020,5
21000923,5
21006549,5
21000803,5
21000572,5
21000759,5
27000035,5
21000548,6
15000046,6
24000050,6
21000587,6
21000666,6
21001663,6
23000587,6
24000061,6
23000083,6
21000030,6
15000048,6
21000413,6
21000462,6
18000041,6
15000032,6
27000021,6
26000096,6
26000080,6
26000082,6
23000087,6
13000430,7
11000204,7
12000519,7
16000215,7
16001309,7
12000001,7
19000214,7
19000015,7
16000030,7
22000419,7
22000043,7
22000048,7
22000640,7
22001542,7
16000070,7
16000023,7
16000024,7
16000053,7
16001095,7
25000075,7
61000012,8
61000013,8
60000027,8
59000005,8
60000650,8
62000012,8
61000094,8
62000014,8
61000399,8
61000441,8
60000036,8
60000031,8
61000011,8
60000212,8
60000029,8
54000002,8
47000659,8
62000017,8
63000007,8
64000025,8
48000007,9
48000010,9
50000051,9
50000056,9
50000057,9
49000094,9
49000057,9
49000061,9
49000066,9
50000058,9
48000011,9
50000048,9
48000006,9
48000004,9
52000033,9
52000029,9
52000025,9
52000198,9
52000199,9
45001404,10
40000165,10
46000020,10
46000642,10
39000001,10
46000017,10
36000061,10
37000034,10
38000023,10
38000052,10
46000608,10
45001412,10
45000043,10
36000012,10
35000018,10
35000010,10
34000002,10
35000006,10
36000192,10
30000215,11
25000078,11
25000085,11
18000077,11
20000021,11
20000308,11
21000806,11
21000084,11
21000591,11
21000712,11
21000461,11
49000054,11
13000065,11
11000011,11
22000053,11
21001659,11
16000123,11
2000006,12
5000003,12
4000005,12
1000315,12
2000005,12
7000003,12
1000102,12
8000001,12
6000001,12
6000306,12
2000014,12
3000003,12
3000002,12
6000427,12
7000333,12
42000014,13
43000007,13
42000366,13
42000020,13
44000590,13
45000117,13
45000044,13
41000014,13
41000012,13
41000024,13
41000016,13
41000020,13
47000037,13
47001065,13
43000432,13
37000038,14
34000023,14
37000039,14
32000022,14
33000318,14
29000535,14
46000641,14
43000408,14
41000391,14
35000013,14
37000011,14
29000232,14
21000528,15
19000012,15
21000090,15
21000788,15
21000780,15
21000783,15
21000782,15
21000790,15
21000800,15
45000045,16
57000050,16
55000015,16
56000003,16
52000063,16
23000002,16
57000059,16
21000665,16
57000058,16
45000090,17
54000184,17
56000006,17
50000045,17
45000034,17
47001141,17
67000019,18
66000014,18
66000034,18
67000017,18
67000030,18
67000018,18
53000011,19
53000028,19
