,Cluster
41000140,0
41000141,0
42000012,0
56000007,0
45000003,0
45000004,0
46000017,0
46000001,0
46000030,0
47000001,0
45000058,0
45000043,0
46000019,0
46000018,0
45000002,0
44000188,0
39000001,0
40000001,0
41000020,0
42000021,0
44000021,0
44000106,0
43000001,0
42000074,0
37000259,0
38000047,0
37000255,0
41000012,0
37000034,0
11000016,1
21000030,1
15000032,1
42000020,1
42000014,1
42000022,1
21000557,1
21000526,1
21000413,1
21000089,1
21000803,1
21000563,1
21000666,1
21000548,1
21000085,1
36000015,1
26000080,1
26000096,1
21000873,1
36000009,1
36000008,1
9000015,1
9000001,1
42000019,1
45000045,1
38000024,1
38000107,1
21000872,2
26000111,2
21000065,2
21000072,2
21000647,2
21000861,2
21000759,2
32000022,2
27000003,2
21001663,2
26000170,2
27000004,2
34000023,2
27000045,2
32000004,2
36000012,2
36000018,2
36000016,2
37000011,2
21000577,2
15000043,2
21000786,2
21000572,2
15000002,2
41000024,2
41000014,2
21000752,2
49000054,3
49000066,3
49000094,3
50000051,3
49000227,3
49000092,3
49000057,3
48000010,3
52000064,3
55000018,3
52000020,3
52000063,3
51000024,3
52000870,3
52000068,3
48000004,3
48000007,3
52000029,3
52000199,3
52000025,3
50000056,3
55000017,3
47000036,4
42000125,4
25000733,4
31000021,4
25000021,4
26000082,4
23000083,4
21000665,4
21000084,4
21000467,4
21000461,4
22000053,4
26000037,4
25003189,4
11000011,4
18000077,4
21000569,4
21000062,4
56000003,4
57000058,4
55000015,4
13000011,5
17000007,5
15000069,5
14000020,5
10000009,5
6000001,5
7000003,5
5000003,5
4000005,5
8000001,5
45000034,5
17000004,5
3000002,5
3000003,5
14000022,5
14000016,5
15000073,5
18000078,5
2000005,5
58000019,6
60000036,6
62000017,6
58000047,6
56000005,6
60000027,6
52000039,6
57000055,6
57000052,6
49000061,6
47000037,6
57000049,6
57000050,6
56000006,6
59000006,6
54000002,6
56000001,6
57000044,6
56000002,6
22000336,7
25000020,7
25000075,7
22000043,7
19000012,7
20000034,7
31000017,7
25000086,7
16000023,7
13000019,7
16000024,7
16000070,7
22000050,7
22000048,7
16000030,7
19000015,7
31000032,7
35000010,8
34000003,8
34000002,8
35000013,8
35000006,8
21000040,8
29000009,8
32000001,8
33000004,8
34000019,8
35000018,8
39000002,8
37000038,8
28000001,8
30000052,8
37000039,8
38000023,8
21000794,9
25000085,9
22000225,9
22000062,9
25000078,9
13000065,9
21000790,9
20000024,9
20000026,9
21000535,9
25000097,9
32000013,9
31000027,9
25000082,9
67000017,10
67000018,10
61000013,10
61000012,10
67000019,10
62000022,10
64000025,10
62000012,10
60000031,10
66000014,10
62000014,10
50000057,11
52000198,11
53000010,11
51000026,11
50000048,11
50000045,11
48000011,11
52000033,11
21000487,12
21006038,12
21000745,12
21000712,12
21006037,12
21000529,13
21000528,13
21006035,13
21006036,13
53000235,14
53000011,14
53000028,14
45000090,15
53000029,15
45000035,15
50000058,16
50000046,16
32000030,17
20000790,18
21000090,19
