,Cluster
10000009,-1
61000013,-1
62000012,-1
62000014,-1
62000015,-1
62000017,-1
62000022,-1
63000007,-1
64000025,-1
66000014,-1
67000017,-1
67000018,-1
67000019,-1
7000003,-1
8000001,-1
14000016,-1
14000020,-1
10000010,-1
10000011,-1
10000014,-1
10000016,-1
10000017,-1
57001002,-1
11000016,-1
12000001,-1
12000195,-1
13000011,-1
13000019,-1
13000065,-1
13000116,-1
13000117,-1
59000006,-1
19000012,-1
19000015,-1
19000042,-1
6000001,-1
60000027,-1
2000005,-1
60000029,-1
21000040,-1
21000062,-1
21000072,-1
60000031,-1
21000085,-1
21000089,-1
21000090,-1
21000413,-1
60000035,-1
60000036,-1
21000487,-1
21000528,-1
21000548,-1
61000012,-1
21000572,-1
21000648,-1
14000022,-1
15000002,-1
21000712,-1
21000745,-1
21000752,-1
21000759,-1
21000786,-1
21000794,-1
21000803,-1
21000872,-1
15000032,-1
21001151,-1
15000043,-1
21006036,-1
15000046,-1
21006375,-1
22000043,-1
22000048,-1
22000050,-1
22000053,-1
15000073,-1
16000023,-1
23000079,-1
23000083,-1
24000050,-1
24000061,-1
25000018,-1
25000020,-1
25000021,-1
25000075,-1
25000078,-1
16000024,-1
25000085,-1
25000086,-1
16000030,-1
25000733,-1
25001107,-1
16000070,-1
17000004,-1
26000082,-1
17000007,-1
26000111,-1
26000114,-1
26000170,-1
27000002,-1
27000004,-1
27000035,-1
27000045,-1
28000001,-1
29000009,-1
3000002,-1
3000003,-1
30000052,-1
30000215,-1
31000017,-1
31000027,-1
31000032,-1
32000001,-1
32000004,-1
32000013,-1
32000022,-1
33000003,-1
33000004,-1
34000002,-1
34000003,-1
34000019,-1
34000023,-1
34000024,-1
35000006,-1
35000010,-1
35000013,-1
35000018,-1
9000001,-1
9000015,-1
36000012,-1
36000015,-1
36000016,-1
36000018,-1
37000011,-1
37000034,-1
37000038,-1
38000023,-1
38000209,-1
38000221,-1
39000001,-1
39000002,-1
40000001,-1
4000002,-1
4000005,-1
41000012,-1
41000014,-1
41000016,-1
41000020,-1
41000284,-1
42000012,-1
42000014,-1
42000017,-1
42000019,-1
42000020,-1
42000021,-1
42000022,-1
43000001,-1
43000003,-1
44000021,-1
44000177,-1
45000034,-1
45000035,-1
45000043,-1
45000045,-1
45000058,-1
45000090,-1
46000001,-1
46000017,-1
46000018,-1
46000019,-1
46000030,-1
47000001,-1
47000036,-1
47000037,-1
48000004,-1
49000054,-1
49000090,-1
49000092,-1
5000003,-1
50000046,-1
50000048,-1
50000051,-1
50000057,-1
50000058,-1
5000078,-1
51000026,-1
52000020,-1
52000033,-1
52000039,-1
52000063,-1
52000198,-1
52000199,-1
53000010,-1
53000011,-1
53000028,-1
55000015,-1
56000005,-1
9001110,-1
57000052,-1
57000063,-1
11000011,0
18000077,0
21000084,0
21000461,0
21000467,0
21000569,0
21000665,0
21006372,0
18000040,0
26000037,0
55000017,1
52000068,1
57000058,1
56000007,1
58000047,1
51000002,1
57000050,1
51000024,1
56000003,1
55000018,1
49000057,2
49000061,2
52000025,2
49000066,2
49000094,2
48000007,2
50000056,2
48000010,2
48000011,2
52000029,2
45000004,3
45000005,3
36000008,3
45000003,3
38000024,3
42000074,3
45000002,3
36000009,3
20000024,4
20000026,4
22000062,4
22000225,4
16001299,4
25000097,4
25000082,4
57000044,5
54000002,5
56000001,5
56000002,5
57000055,5
56000006,5
57000049,5
21000030,6
21000666,6
21000873,6
21001663,6
26000096,6
26000080,6
