,Cluster
9000001,-1
13000116,-1
13000065,-1
13000011,-1
12000195,-1
11000016,-1
10000017,-1
10000016,-1
10000011,-1
10000010,-1
9000015,-1
60000035,-1
60000029,-1
60000027,-1
57001002,-1
55000015,-1
53000028,-1
53000011,-1
53000010,-1
21000090,-1
21000089,-1
21000085,-1
21000072,-1
21000062,-1
21000040,-1
19000042,-1
21000803,-1
5000078,-1
50000058,-1
50000057,-1
50000051,-1
50000048,-1
50000046,-1
21000794,-1
21000786,-1
21000759,-1
21000752,-1
21000712,-1
21000648,-1
21000572,-1
21000528,-1
21000487,-1
24000050,-1
49000054,-1
48000004,-1
45000090,-1
45000045,-1
45000034,-1
44000177,-1
23000083,-1
23000079,-1
22000062,-1
22000053,-1
22000050,-1
22000048,-1
22000043,-1
21006036,-1
21001663,-1
21000872,-1
42000020,-1
42000017,-1
42000014,-1
42000012,-1
41000284,-1
41000016,-1
41000014,-1
26000082,-1
25001107,-1
25000733,-1
25000086,-1
25000085,-1
25000075,-1
25000021,-1
25000018,-1
24000061,-1
31000032,-1
38000023,-1
37000038,-1
37000034,-1
37000011,-1
36000018,-1
36000016,-1
36000012,-1
43000003,-1
31000027,-1
31000017,-1
27000045,-1
27000035,-1
27000004,-1
27000002,-1
26000170,-1
26000114,-1
26000111,-1
35000018,-1
35000013,-1
35000010,-1
35000006,-1
34000023,-1
34000019,-1
34000003,-1
33000003,-1
32000022,-1
32000004,-1
32000001,-1
10000009,-1
67000019,-1
67000018,-1
67000017,-1
66000014,-1
62000015,-1
62000014,-1
17000007,-1
17000004,-1
16000070,-1
16000030,-1
16000024,-1
16000023,-1
15000073,-1
15000043,-1
15000002,-1
14000020,-1
9001110,-1
16001299,0
61000013,0
61000012,0
18000040,0
32000013,0
38000221,0
38000209,0
38000024,0
30000052,0
30000215,0
36000009,0
36000015,0
36000008,0
34000024,0
34000002,0
33000004,0
39000001,0
21006372,0
22000225,0
45000005,0
45000004,0
42000021,0
42000074,0
42000022,0
46000019,0
26000037,0
25000097,0
25000082,0
25000078,0
25000020,0
40000001,0
39000002,0
45000058,0
45000043,0
45000002,0
44000021,0
45000003,0
43000001,0
52000025,0
52000020,0
50000056,0
51000002,0
51000024,0
56000007,0
21000665,0
21000569,0
21000467,0
49000094,0
49000092,0
49000090,0
49000066,0
49000061,0
49000057,0
48000011,0
48000010,0
48000007,0
47000037,0
47000036,0
47000001,0
46000030,0
52000063,0
46000018,0
46000017,0
46000001,0
57000050,0
57000052,0
57000055,0
20000026,0
52000198,0
52000068,0
60000036,0
21000413,0
52000199,0
54000002,0
55000017,0
55000018,0
56000005,0
56000003,0
56000002,0
56000001,0
57000063,0
58000047,0
59000006,0
57000058,0
56000006,0
18000077,0
57000044,0
57000049,0
52000033,0
21000084,0
52000029,0
51000026,0
20000024,0
52000039,0
21000461,0
60000031,0
11000011,0
3000003,1
15000046,1
14000022,1
3000002,1
15000032,1
7000003,1
14000016,1
6000001,1
2000005,1
13000117,1
13000019,1
10000014,1
4000002,1
4000005,1
5000003,1
8000001,1
21000666,2
21000745,2
21000548,2
26000080,2
28000001,2
26000096,2
21000873,2
21000030,2
12000001,3
21001151,3
21006375,3
19000015,3
19000012,3
29000009,4
42000019,4
45000035,4
41000012,4
41000020,4
64000025,5
62000012,5
62000022,5
62000017,5
63000007,5
