,Cluster
16000215,0
16000023,0
16000030,0
16000024,0
16001095,0
16000070,0
16000053,0
21000062,0
21000030,0
21000020,0
19000214,0
19000075,0
19000016,0
19000015,0
19000012,0
16001309,0
21000446,0
21000487,0
21000061,0
21000040,0
21000072,0
22000046,0
22000043,0
21006549,0
45000044,0
21000803,0
21000752,0
21000759,0
21000745,0
21000666,0
21000572,0
25000075,0
43000432,0
22001542,0
22000194,0
22000158,0
25000019,0
25000275,0
25000483,0
25000362,0
25000082,0
25000086,0
25000087,0
25000091,0
25000097,0
25000021,0
22000054,0
22000050,0
21002628,0
21002451,0
21000923,0
21000872,0
22000048,0
21000548,0
26000080,0
25003599,0
25003597,0
25003595,0
25001614,0
25000733,0
25000716,0
25000707,0
25000642,0
25000629,0
32000004,0
32000013,0
32000002,0
32000001,0
31000027,0
31000023,0
31001108,0
31000032,0
29000535,0
31000017,0
29000009,0
29000232,0
28000001,0
37000039,0
37000038,0
37000011,0
36000018,0
36000012,0
12000519,0
12000001,0
35000008,0
34000024,0
11000204,0
11000016,0
34000003,0
34000002,0
33000318,0
33000004,0
33000003,0
32000022,0
34000023,0
34000019,0
27000004,0
26000096,0
27000055,0
27000045,0
47000659,1
47000092,1
46000018,1
46000017,1
48000011,1
48000010,1
54000009,1
54000184,1
56000001,1
56000002,1
56000005,1
48000007,1
54000002,1
52001041,1
47000037,1
47000001,1
46000608,1
46000020,1
56000007,1
56000006,1
60000037,1
59000005,1
59000006,1
60000027,1
60000029,1
60000031,1
60000035,1
58000047,1
41000024,1
41000020,1
41000014,1
41000016,1
42000017,1
42000014,1
43000003,1
42000379,1
44000191,1
44000021,1
44000020,1
43000408,1
38000107,1
40000001,1
40000165,1
41000012,1
42000366,1
45000043,1
45000034,1
45000005,1
45000003,1
45000004,1
45000002,1
47001065,1
45000047,1
45000117,1
45000804,1
45001404,1
45000090,1
42000021,1
42000020,1
60000036,1
57000178,1
57000048,1
57000049,1
57000052,1
57000053,1
57000055,1
57000063,1
57000121,1
57000044,1
61000011,1
61000012,1
61000013,1
62000012,1
62000014,1
38000047,1
38000052,1
62000015,1
62000017,1
62000022,1
63000007,1
64000025,1
66000014,1
66000034,1
67000017,1
67000018,1
67000019,1
67000030,1
9000001,2
11000272,2
11000011,2
36000009,2
30000052,2
30000215,2
31000021,2
9000015,2
38000024,2
43000001,2
23000002,2
42000012,2
25000085,2
25000078,2
26000082,2
36000008,2
42001011,2
22001541,2
24000050,2
22000062,2
22000225,2
22000234,2
22000640,2
22001540,2
21001449,2
45001412,2
21001659,2
22000053,2
49000054,2
52000039,2
52000040,2
52000063,2
21000413,2
21000089,2
21000085,2
21000087,2
21000084,2
46000019,2
46000001,2
21000467,2
46000642,2
47000036,2
21000591,2
48000004,2
21000643,2
21000648,2
46000030,2
21000461,2
21000712,2
21000665,2
21000794,2
21000800,2
45000058,2
45001337,2
21000806,2
45000045,2
22000057,2
42000022,2
42000074,2
42000478,2
56000003,2
55000018,2
55000017,2
51000024,2
57000059,2
20000026,2
20000024,2
20000021,2
18000887,2
18000077,2
18000041,2
18000005,2
57001002,2
20000025,2
20000308,2
57000058,2
9000451,2
9000293,2
57000050,2
13000065,2
55000015,2
8000001,3
7000003,3
13000019,3
21006036,3
50000046,3
21000786,3
21000528,3
5000003,3
21000110,3
21000090,3
7000099,3
14000020,3
15000002,3
14000219,3
14000022,3
53000029,3
2000005,3
15000280,3
15001056,3
17000007,3
17000004,3
6000001,3
15000073,3
2000006,3
5000078,3
17002092,3
50000058,3
23000083,3
24000061,3
4000002,3
23000994,3
4000005,3
10000011,3
10000014,3
10000016,3
10000017,3
1000102,3
3000003,3
3000002,3
23000087,3
9000172,3
14000016,3
13000430,3
10000010,3
1000315,3
13000011,3
7000333,3
10000009,3
13000055,3
15000042,3
15000034,3
15000032,3
15000069,3
15000048,3
6000306,3
15000044,3
15000043,3
15000046,3
52000025,4
52000033,4
52000198,4
52000068,4
52000029,4
51000245,4
52000020,4
21006467,4
46000641,4
27000638,4
39000002,4
27000003,4
27000002,4
35000013,4
41000391,4
25000020,4
35000018,4
27000035,4
27000021,4
39000001,4
43000007,4
36000061,4
36000192,4
37000034,4
38000023,4
27000975,4
27000615,4
27000671,4
52000064,4
48000006,4
49000061,4
49000066,4
52000199,4
50000048,4
50000051,4
50000045,4
49000094,4
50000056,4
50000057,4
51000026,4
53000028,4
53000010,4
52000425,4
53000618,4
51000002,4
58000019,4
