,Cluster
11000011,0
13000065,0
21000062,0
18000077,0
21000030,0
21000745,0
21000794,0
21000665,0
21000563,0
21000569,0
21000557,0
21000526,0
21000467,0
21000461,0
21000090,0
21000084,0
21000712,0
21000666,0
26000037,0
22000062,0
22000225,0
21006038,0
36000015,0
37000034,0
25000085,0
25000097,0
21006037,0
21000873,0
38000024,0
38000047,0
37000255,0
37000259,0
41000140,0
41000141,0
42000012,0
45000043,0
45000005,0
46000018,0
46000001,0
45000369,0
46000030,0
47000036,0
45000058,0
46000174,0
46000019,0
43000001,0
42000074,0
42000125,0
39000001,0
40000001,0
41000014,0
42000014,0
42000020,0
42000019,0
42000021,0
42000022,0
41000012,0
48000007,1
48000010,1
49000054,1
49000092,1
49000066,1
49000061,1
49000094,1
50000048,1
50000051,1
50000056,1
50000057,1
51000024,1
51000026,1
52000020,1
52000025,1
52000063,1
52000029,1
52000033,1
52000039,1
52000068,1
52000064,1
52000198,1
52000199,1
56000005,1
52000870,1
53000010,1
54000002,1
56000002,1
56000001,1
55000018,1
55000017,1
48000011,1
48000004,1
48000006,1
49000057,1
60000031,1
62000017,1
64000025,1
67000019,1
56000007,1
57000044,1
57000049,1
61000013,1
61000012,1
59000006,1
58000047,1
58000019,1
57000063,1
57000058,1
60000035,1
57000050,1
57000052,1
57000055,1
56000003,1
56000006,1
60000036,1
21000861,2
21000548,2
21000577,2
21000487,2
21000413,2
21000529,2
21000572,2
21000803,2
21000759,2
21000786,2
21000535,2
21000065,2
16000023,2
20000034,2
20000790,2
21000040,2
16000030,2
16000024,2
16000070,2
20000024,2
20000026,2
19000015,2
19000012,2
15000032,2
11000016,2
22000048,2
22000043,2
22000234,2
21006035,2
22000053,2
22000050,2
26000080,2
26000082,2
21000528,2
21000110,2
21000072,2
9000001,2
9000015,2
31000017,2
25000021,2
25000075,2
25000082,2
25000086,2
25000020,2
22000336,2
25003189,2
26000096,2
31000032,2
25000733,2
21001663,2
21006036,2
30000052,2
31000021,3
21000872,3
32000022,3
27000004,3
29000009,3
28000001,3
27000003,3
34000003,3
36000009,3
21000752,3
21000647,3
35000013,3
35000018,3
34000002,3
33000004,3
32000004,3
32000001,3
32000013,3
37000011,3
34000023,3
34000019,3
35000010,3
35000006,3
36000008,3
36000018,3
36000016,3
36000012,3
37000038,3
37000039,3
38000023,3
39000002,3
27000045,3
38000107,3
23000173,4
23000083,4
53000029,4
6000001,4
3000002,4
3000003,4
15000073,4
15000002,4
25000078,4
10000009,4
15000043,4
2000005,4
17000007,4
18000078,4
14000022,4
17000004,4
31000027,4
25000018,4
14000020,4
14000016,4
13000019,4
13000011,4
4000005,4
45000045,4
50000046,4
5000003,4
7000003,4
50000058,4
8000001,4
55000015,4
21000089,5
21000085,5
46000017,5
45000003,5
44000021,5
41000016,5
41000020,5
41000024,5
44000188,5
44000106,5
45000002,5
47000001,5
62000014,5
47000037,5
45000004,5
45000034,5
45000035,5
67000018,5
66000014,5
67000017,5
50000045,6
53000028,6
53000235,6
53000011,6
60000027,6
